DATE,price_per_kg,day_of_week,month,week_of_year,day_of_month,season,rolling_mean_3,rolling_mean_5,rolling_mean_7,lag_1,lag_3,lag_5,rolling_std_3,rolling_std_5,rolling_std_7
2010-02-10,2350.0,2.0,2.0,6,10.0,0.0,2423.3333333333335,2514.0,2552.8571428571427,2310.0,2650.0,2650.0,162.8905563049417,169.35170504013237,153.3747356112134
2010-02-11,2390.0,3.0,2.0,6,11.0,0.0,2350.0,2462.0,2515.714285714286,2350.0,2610.0,2650.0,40.00000000000082,156.58863304850706,157.35915849388905
2010-02-12,2430.0,4.0,2.0,6,12.0,0.0,2390.0,2418.0,2484.285714285714,2390.0,2310.0,2650.0,40.00000000000082,116.27553482998907,147.74495398683368
2010-02-13,2430.0,5.0,2.0,6,13.0,0.0,2416.6666666666665,2382.0,2452.8571428571427,2430.0,2350.0,2610.0,23.094010767586482,52.15361924162119,128.8040224157475
2010-02-14,2430.0,6.0,2.0,6,14.0,0.0,2430.0,2406.0,2421.4285714285716,2430.0,2390.0,2310.0,0.0,35.77708763999664,95.11897312113534
2010-02-15,2430.0,0.0,2.0,7,15.0,0.0,2430.0,2422.0,2395.714285714286,2430.0,2430.0,2350.0,0.0,17.88854381999832,48.59943170351913
2010-02-16,2430.0,1.0,2.0,7,16.0,0.0,2430.0,2430.0,2412.8571428571427,2430.0,2430.0,2390.0,0.0,0.0,31.471831698781294
2010-02-17,2430.0,2.0,2.0,7,17.0,0.0,2430.0,2430.0,2424.285714285714,2430.0,2430.0,2430.0,0.0,0.0,15.118578920375981
2010-02-18,2650.0,3.0,2.0,7,18.0,0.0,2503.3333333333335,2474.0,2461.4285714285716,2430.0,2430.0,2430.0,127.01705922171787,98.38699100999075,83.152184062031
2010-02-19,2750.0,4.0,2.0,7,19.0,0.0,2610.0,2538.0,2507.1428571428573,2650.0,2430.0,2430.0,163.70705543744913,152.0526224699857,134.87207342691923
2010-02-20,2750.0,5.0,2.0,7,20.0,0.0,2716.6666666666665,2602.0,2552.8571428571427,2750.0,2430.0,2430.0,57.73502691896299,162.23439832538597,156.81350767863148
2010-02-21,2750.0,6.0,2.0,7,21.0,0.0,2750.0,2666.0,2598.5714285714284,2750.0,2650.0,2430.0,0.0,138.85243966167826,161.5991513414773
2010-02-22,2810.0,0.0,2.0,8,22.0,0.0,2770.0,2742.0,2652.8571428571427,2750.0,2750.0,2430.0,34.64101615137834,57.619441163551734,159.34389285591126
2010-02-23,2720.0,1.0,2.0,8,23.0,0.0,2760.0,2756.0,2694.285714285714,2810.0,2750.0,2650.0,45.825756949559,32.863353450309965,125.94405409508092
2010-02-24,2720.0,2.0,2.0,8,24.0,0.0,2750.0,2750.0,2735.714285714286,2720.0,2750.0,2750.0,51.961524227066846,36.742346141747674,48.25527358301153
2010-02-25,2790.0,3.0,2.0,8,25.0,0.0,2743.3333333333335,2758.0,2755.714285714286,2720.0,2810.0,2750.0,40.41451884327442,40.8656334834051,33.594217189440045
2010-02-26,2790.0,4.0,2.0,8,26.0,0.0,2766.6666666666665,2766.0,2761.4285714285716,2790.0,2720.0,2750.0,40.41451884327442,42.77849927241488,35.79039509354728
2010-02-27,2790.0,5.0,2.0,8,27.0,0.0,2790.0,2762.0,2767.1428571428573,2790.0,2720.0,2810.0,0.0,38.34057902536163,36.83941988064799
2010-02-28,2790.0,6.0,2.0,8,28.0,0.0,2790.0,2776.0,2772.8571428571427,2790.0,2790.0,2720.0,0.0,31.304951684997057,36.83941988064785
2010-03-01,2790.0,0.0,3.0,9,1.0,1.0,2790.0,2790.0,2770.0,2790.0,2790.0,2720.0,0.0,0.0,34.156502553196034
2010-03-02,2810.0,1.0,3.0,9,2.0,1.0,2796.6666666666665,2794.0,2782.8571428571427,2790.0,2790.0,2790.0,11.547005383794964,8.94427190999916,28.702082220795905
2010-03-03,2810.0,2.0,3.0,9,3.0,1.0,2803.3333333333335,2798.0,2795.714285714286,2810.0,2790.0,2790.0,11.547005383794964,10.954451150103322,9.759000729474394
2010-03-04,2810.0,3.0,3.0,9,4.0,1.0,2810.0,2802.0,2798.5714285714284,2810.0,2790.0,2790.0,0.0,10.954451150103322,10.69044967648678
2010-03-05,2850.0,4.0,3.0,9,5.0,1.0,2823.3333333333335,2814.0,2807.1428571428573,2810.0,2810.0,2790.0,23.094010767586155,21.908902300206645,21.380899352988514
