DATE,price_per_kg,day_of_week,month,week_of_year,day_of_month,season,rolling_mean_3,rolling_mean_5,rolling_mean_7,lag_1,lag_3,lag_5,rolling_std_3,rolling_std_5,rolling_std_7
2024-03-30,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-03-31,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-04-01,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-04-02,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-04-03,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-04-04,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-04-05,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-04-06,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-04-07,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-04-08,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-04-09,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-04-10,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-04-11,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
